Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr2 173686446 173686509 RAPGEF4_Exon1_NM_001100397.1 393.58 74.50 319.08 81.071193
chr14 69149633 69149681 RAD51B_Exon11_NM_001321818.1 1427.82 339.88 1087.94 76.195879
chr12 70747674 70747738 CNOT2_Exon17_NM_001199302.1 468.94 112.64 356.3 75.979869
chr17 45266491 45266558 CDC27_Exon1_NM_001114091.4 15494.80 4208.36 11286.44 72.840179
chr6 31324842 31324955 HLA-B_Exon1_NM_005514.8 1614.76 478.40 1136.36 70.373306
chr3 52621581 52621612 PBRM1_Intron24_NM_001350077.2 528.00 176.84 351.16 66.507576
chr14 69006896 69006956 RAD51B_Exon11_NM_001321814.1 1545.08 531.32 1013.76 65.612137
chr1 235507447 235507505 GGPS1_Exon4_NM_001371477.1 355.92 122.86 233.06 65.481007
chr10 89636672 89636701 PTEN_Intron1_NM_001304718.2 295.58 112.20 183.38 62.040733
chr12 55038389 55038451 DCD_Exon6_NM_001300854.2 314.16 122.02 192.14 61.159919
chr17 45214497 45214746 CDC27_Exon14_NM_001114091.4 14522.58 5677.18 8845.4 60.90791
chr7 23545100 23545159 TRA2A_Exon8_NM_001362761.2 447.94 191.06 256.88 57.346966
chr17 7579679 7579741 TP53_Exon3_NM_001276696.2 660.84 296.70 364.14 55.102597
chr5 134907413 134907495 CXCL14_Exon4_NM_004887.5 258.60 121.32 137.28 53.085847
chr2 14778318 14778378 LRATD1_Exon2_NM_145175.4 142.86 67.96 74.9 52.428951
chr5 98216962 98217099 CHD1_Exon20_NM_001270.2 1425.60 696.82 728.78 51.120932
chrX 123200004 123200132 STAG2_Exon22_NM_001042749.2 1129.12 563.08 566.04 50.131076
chrX 123195600 123195744 STAG2_Exon17_NM_001042749.2 1062.62 562.16 500.46 47.096798
chr1 27992781 27992843 IFI6_Exon5_NM_022873.3 196.30 106.56 89.74 45.715741
chr11 26581363 26581442 MUC15_Exon5_NM_001135091.2 129.54 70.50 59.04 45.576656
chr5 55243300 55243437 IL6ST_Exon15_NM_002184.4 1059.14 580.92 478.22 45.151727
chr9 84248242 84248299 TLE1_Exon8_NM_001303103.1 1031.88 572.94 458.94 44.476102
chr17 41275225 41275358 BRCA1_Intron2_NM_007298.3 1067.12 641.08 426.04 39.924282
chr8 117868384 117868547 RAD21_Exon8_NM_006265.3 1834.18 1102.96 731.22 39.866316
chr4 155295071 155295107 DCHS2_Intron3_NM_001358235.2 1492.84 902.78 590.06 39.526004
chr17 4996451 4996508 ZFP3_Exon2_NM_153018.3 231.78 140.82 90.96 39.244111
chr11 105481578 105481636 GRIA4_Exon1_NM_001112812.2 541.24 350.24 191.0 35.289336
chr6 31324444 31324754 HLA-B_Exon2_NM_005514.8 1480.54 960.50 520.04 35.125022
chr17 41219528 41220025 BRCA1_Exon15_NM_007298.3 1265.16 829.40 435.76 34.443074
chr17 29559070 29559227 NF1_Exon25_NM_000267.3 1120.12 736.32 383.8 34.264186
chr15 89816587 89816720 FANCI_Exon11_NM_001113378.1 1109.32 730.50 378.82 34.148848
chr14 69149816 69149841 LOC100996664_Intergenic8_NR_135816.1 899.24 599.60 299.64 33.321471
chr17 41218724 41218828 BRCA1_Intron16_NM_007298.3 1105.48 741.90 363.58 32.888881
chr4 185340602 185340742 IRF2_Exon3_NM_002199.4 905.36 628.34 277.02 30.597773
chr14 68331699 68331876 RAD51B_Exon5_NM_001321819.1 1702.16 1187.36 514.8 30.243925
chr12 432227 432392 KDM5A_Exon16_NM_001042603.3 1000.22 700.24 299.98 29.991402
chr2 21266715 21266837 APOB_Exon1_NM_000384.3 599.74 423.50 176.24 29.386067
chr13 50587635 50587696 TRIM13_Exon3_NM_005798.5 3.00 2.12 0.88 29.333333
chr9 100777765 100777818 ANP32B_Exon7_NM_006401.3 661.32 470.88 190.44 28.796952
chr17 66453462 66453582 WIPI1_Exon1_NM_017983.7 922.48 660.10 262.38 28.442893
chr6 161523710 161523831 MAP3K4_Exon18_NM_001363582.1 1278.36 922.62 355.74 27.827842
chr17 45219198 45219411 CDC27_Exon12_NM_001114091.4 5568.82 4052.22 1516.6 27.233777
chr15 99192790 99192924 IGF1R_Exon1_NM_001291858.2 1104.62 807.34 297.28 26.912422
chr16 9934666 9934695 GRIN2A_Intron7_NM_001134408.2 347.72 255.82 91.9 26.429311
chr13 49039113 49039267 RB1_Exon22_NM_000321.2 1145.00 857.90 287.1 25.074236
chr6 31237722 31237882 HLA-C_Exon5_NM_002117.6 1625.44 1223.98 401.46 24.698543
chr4 55598016 55598184 KIT_Exon16_NM_001093772.1 1410.24 1072.08 338.16 23.978897
chr4 155225800 155226050 DCHS2_Exon12_NM_001358235.2 1503.36 1143.22 360.14 23.955673
chr4 155244369 155244501 DCHS2_Exon8_NM_001142552.2 1416.06 1085.84 330.22 23.319633
chr19 4097256 4097361 MAP2K2_Exon8_NM_030662.3 1193.32 915.54 277.78 23.277914
chr2 42499214 42499241 EML4_Intron5_NM_001145076.3 179.48 138.78 40.7 22.676621
chr12 7045872 7045958 ATN1_Exon5_NM_001007026.2 971.96 754.20 217.76 22.404214
chr7 152351276 152351306 XRCC2_Intron3_NM_005431.2 240.64 187.34 53.3 22.149269
chr15 40993983 40994144 RAD51_Exon4_NM_001164269.2 3.60 2.82 0.78 21.666667
chr22 36708073 36708287 MYH9_Exon14_NM_002473.5 1288.32 1015.84 272.48 21.150025
chr5 98216759 98216895 CHD1_Exon21_NM_001270.2 1566.82 1243.38 323.44 20.643086
chr5 158526577 158526627 EBF1_Exon1_NM_001324111.2 375.20 298.72 76.48 20.383795
