Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr12 6994499 6994553 DSTNP2_Exon1_NR_033796.2 0.62 0.00 0.62 100.0
chr17 56807520 56807547 RAD51C_Intron7_NM_058216.3 0.14 0.00 0.14 100.0
chr2 173686446 173686509 RAPGEF4_Exon1_NM_001100397.1 393.58 79.36 314.22 79.836374
chr12 70747674 70747738 CNOT2_Exon17_NM_001199302.1 468.94 109.04 359.9 76.747558
chr14 69149633 69149681 RAD51B_Exon11_NM_001321818.1 1427.82 344.82 1083.0 75.849897
chr17 45266491 45266558 CDC27_Exon1_NM_001114091.4 15494.80 4336.06 11158.74 72.016031
chr3 52621581 52621612 PBRM1_Intron24_NM_001350077.2 528.00 173.62 354.38 67.117424
chr6 31324842 31324955 HLA-B_Exon1_NM_005514.8 1614.76 552.84 1061.92 65.763333
chr14 69006896 69006956 RAD51B_Exon11_NM_001321814.1 1545.08 530.54 1014.54 65.662619
chr17 45214497 45214746 CDC27_Exon14_NM_001114091.4 14522.58 5012.62 9509.96 65.483957
chr1 235507447 235507505 GGPS1_Exon4_NM_001371477.1 355.92 132.26 223.66 62.839964
chr10 89636672 89636701 PTEN_Intron1_NM_001304718.2 295.58 110.94 184.64 62.467014
chr12 55038389 55038451 DCD_Exon6_NM_001300854.2 314.16 125.38 188.78 60.0904
chr7 23545100 23545159 TRA2A_Exon8_NM_001362761.2 447.94 195.28 252.66 56.404876
chr5 134907413 134907495 CXCL14_Exon4_NM_004887.5 258.60 115.90 142.7 55.181748
chr17 7579679 7579741 TP53_Exon3_NM_001276696.2 660.84 308.68 352.16 53.289752
chr5 98216962 98217099 CHD1_Exon20_NM_001270.2 1425.60 701.92 723.68 50.763187
chr2 14778318 14778378 LRATD1_Exon2_NM_145175.4 142.86 71.56 71.3 49.909002
chrX 123200004 123200132 STAG2_Exon22_NM_001042749.2 1129.12 565.96 563.16 49.87601
chrX 123195600 123195744 STAG2_Exon17_NM_001042749.2 1062.62 553.90 508.72 47.874122
chr1 27992781 27992843 IFI6_Exon5_NM_022873.3 196.30 102.62 93.68 47.722873
chr11 26581363 26581442 MUC15_Exon5_NM_001135091.2 129.54 71.02 58.52 45.175235
chr9 84248242 84248299 TLE1_Exon8_NM_001303103.1 1031.88 569.78 462.1 44.782339
chr5 55243300 55243437 IL6ST_Exon15_NM_002184.4 1059.14 591.82 467.32 44.12259
chr8 117868384 117868547 RAD21_Exon8_NM_006265.3 1834.18 1097.00 737.18 40.191257
chr17 41275225 41275358 BRCA1_Intron2_NM_007298.3 1067.12 643.88 423.24 39.661894
chr17 4996451 4996508 ZFP3_Exon2_NM_153018.3 231.78 142.38 89.4 38.571059
chr4 155295071 155295107 DCHS2_Intron3_NM_001358235.2 1492.84 925.06 567.78 38.033547
chr11 105481578 105481636 GRIA4_Exon1_NM_001112812.2 541.24 347.30 193.94 35.832533
