Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr1 10321942 10322048 KIF1B_Exon5_NM_183416.4 1403.74 0.00 1403.74 100.0
chr1 10327417 10327636 KIF1B_Exon6_NM_183416.4 1431.74 0.00 1431.74 100.0
chr1 10412668 10412814 KIF1B_Exon38_NM_001365951.2 1291.84 0.00 1291.84 100.0
chr1 11184534 11184710 MTOR_Exon47_NM_004958.4 1252.20 0.00 1252.2 100.0
chr1 11189774 11189915 MTOR_Exon40_NM_004958.4 1137.16 0.00 1137.16 100.0
chr1 11206712 11206868 MTOR_Exon32_NM_004958.4 1051.24 0.00 1051.24 100.0
chr1 11254497 11254736 ANGPTL7_Exon4_NM_021146.4 1402.28 0.00 1402.28 100.0
chr1 27056121 27056374 ARID1A_Exon2_NM_139135.4 1369.34 0.00 1369.34 100.0
chr1 32797670 32797863 HDAC1_Exon12_NM_004964.3 1661.36 0.00 1661.36 100.0
chr1 32798597 32798665 HDAC1_Exon14_NM_004964.3 1585.62 0.00 1585.62 100.0
chr1 39760697 39760842 MACF1_Exon18_NM_012090.5 1523.00 0.00 1523.0 100.0
chr1 39824348 39824565 MACF1_Exon40_NM_012090.5 1285.92 0.00 1285.92 100.0
chr1 45407162 45407210 EIF2B3_Exon4_NM_020365.5 605.40 0.00 605.4 100.0
chr1 74575193 74575241 LRRIQ3_Exon5_NM_001105659.2 352.08 0.00 352.08 100.0
chr1 120460267 120460405 NOTCH2_Exon33_NM_024408.4 1519.22 0.00 1519.22 100.0
chr1 120501994 120502145 NOTCH2_Exon12_NM_024408.4 1520.46 0.00 1520.46 100.0
chr1 120539599 120539975 NOTCH2_Exon4_NM_024408.4 1476.82 0.00 1476.82 100.0
chr1 120547931 120548231 NOTCH2_Exon3_NM_024408.4 1629.50 0.00 1629.5 100.0
chr1 120572508 120572630 NOTCH2_Exon2_NM_024408.4 3666.22 0.00 3666.22 100.0
chr1 155307980 155308028 ASH1L_Exon27_NM_001366177.2 276.75 0.00 276.75 100.0
chr1 158604312 158604485 SPTA1_Exon39_NM_003126.4 1393.78 0.00 1393.78 100.0
chr1 158617308 158617530 SPTA1_Exon27_NM_003126.4 1332.98 0.00 1332.98 100.0
chr1 160589581 160589629 SLAMF1_Exon6_NM_001330754.1 537.48 0.00 537.48 100.0
chr1 163297997 163298114 NUF2_Exon4_NM_031423.4 1283.06 0.00 1283.06 100.0
chr1 163306520 163306658 NUF2_Exon6_NM_031423.4 1257.08 0.00 1257.08 100.0
chr1 163315447 163315628 NUF2_Exon11_NM_031423.4 1489.50 0.00 1489.5 100.0
chr1 193038157 193038205 RO60_Exon2_NM_001173524.2 658.12 0.00 658.12 100.0
chr1 198663126 198663330 PTPRC_Exon4_NM_001267798.2 1041.16 0.00 1041.16 100.0
chr1 198713162 198713352 PTPRC_Exon23_NM_080921.3 1423.46 0.00 1423.46 100.0
chr1 204513642 204513832 MDM4_Exon6_NM_001278517.1 1207.98 0.00 1207.98 100.0
chr1 206650000 206650201 IKBKE_Exon6_NM_001193321.2 1220.36 0.00 1220.36 100.0
chr1 206666578 206666731 IKBKE_Exon19_NM_001193321.2 1360.94 0.00 1360.94 100.0
chr1 206669424 206669498 IKBKE_Exon21_NM_001193321.2 1343.50 0.00 1343.5 100.0
chr1 226555879 226556042 PARP1_Exon16_NM_001618.4 1216.66 0.00 1216.66 100.0
chr1 227083104 227083300 PSEN2_Exon13_NM_012486.2 1235.80 0.00 1235.8 100.0
chr2 16080688 16080885 MYCN_Exon1_NM_001293231.2 528.46 0.00 528.46 100.0
chr2 21265212 21265368 APOB_Exon3_NM_000384.3 1229.18 0.00 1229.18 100.0
chr2 25468868 25468953 DNMT3A_Exon12_NR_135490.2 948.68 0.00 948.68 100.0
chr2 25469008 25469198 DNMT3A_Exon11_NR_135490.2 1258.68 0.00 1258.68 100.0
chr2 25469899 25470047 DNMT3A_Exon9_NR_135490.2 1324.64 0.00 1324.64 100.0
chr2 25522987 25523132 DNMT3A_Exon3_NR_135490.2 1251.80 0.00 1251.8 100.0
chr2 29917695 29917900 ALK_Exon3_NM_004304.5 1103.80 0.00 1103.8 100.0
chr2 39240580 39240724 SOS1_Exon13_NM_005633.3 1406.02 0.00 1406.02 100.0
chr2 61711051 61711260 XPO1_Exon21_NM_003400.4 1579.94 0.00 1579.94 100.0
chr2 61720029 61720208 XPO1_Exon13_NM_003400.4 1256.94 0.00 1256.94 100.0
chr2 88056951 88057001 PLGLB2_Exon4_NM_002665.4 687.34 0.00 687.34 100.0
chr2 99614576 99614628 TSGA10_Exon19_NM_001349012.1 296.62 0.00 296.62 100.0
chr2 111887688 111887832 BCL2L11_Exon3_NM_138625.4 2.82 0.00 2.82 100.0
chr2 111909378 111909448 BCL2L11_Exon4_NM_001204107.1 1623.42 0.00 1623.42 100.0
chr2 145146963 145147011 ZEB2_Exon10_NM_014795.4 450.70 0.00 450.7 100.0
chr2 152108068 152108117 RBM43_Exon4_NM_198557.3 343.78 0.00 343.78 100.0
chr2 165551276 165551324 COBLL1_Exon13_NM_001365671.1 351.98 0.00 351.98 100.0
chr2 190671128 190671248 PMS1_Exon5_NM_001321051.1 2.16 0.00 2.16 100.0
chr2 198267652 198267779 SF3B1_Exon13_NM_012433.3 1579.16 0.00 1579.16 100.0
chr2 198268288 198268508 SF3B1_Exon12_NM_012433.3 1260.00 0.00 1260.0 100.0
chr2 198299675 198299743 SF3B1_Exon1_NM_012433.3 1223.86 0.00 1223.86 100.0
chr2 209108130 209108348 IDH1_Exon6_NM_001282387.1 1500.02 0.00 1500.02 100.0
chr2 215661764 215661861 BARD1_Exon2_NM_000465.4 1395.28 0.00 1395.28 100.0
chr3 1413962 1414178 CNTN6_Exon11_NM_001349359.2 1334.88 0.00 1334.88 100.0
chr3 10085147 10085296 FANCD2_Exon13_NM_001018115.2 1558.76 0.00 1558.76 100.0
chr3 10085492 10085568 FANCD2_Exon14_NM_001018115.2 1495.02 0.00 1495.02 100.0
chr3 10091037 10091209 FANCD2_Exon17_NM_001018115.2 1962.90 0.00 1962.9 100.0
chr3 10106019 10106133 FANCD2_Exon22_NM_001018115.2 1905.68 0.00 1905.68 100.0
chr3 10107527 10107683 FANCD2_Exon25_NM_001018115.2 1330.98 0.00 1330.98 100.0
chr3 37045871 37045985 MLH1_Exon3_NM_001258273.1 1320.72 0.00 1320.72 100.0
chr3 41265539 41265592 CTNNB1_Exon2_NM_001098210.2 1655.64 0.00 1655.64 100.0
chr3 41278058 41278220 CTNNB1_Exon13_NM_001098210.2 1598.96 0.00 1598.96 100.0
chr3 49398340 49398519 RHOA_Exon5_NM_001313943.2 5.44 0.00 5.44 100.0
chr3 52598045 52598269 PBRM1_Exon28_NM_001350077.2 1520.88 0.00 1520.88 100.0
chr3 69998181 69998339 MITF_Exon6_NM_001354606.2 1335.86 0.00 1335.86 100.0
chr3 119545614 119545722 GSK3B_Exon12_NM_002093.4 1188.92 0.00 1188.92 100.0
chr3 119642199 119642350 GSK3B_Exon4_NM_002093.4 1410.96 0.00 1410.96 100.0
chr3 142180761 142180952 ATR_Exon42_NM_001184.4 1353.70 0.00 1353.7 100.0
chr3 168861465 168861640 MECOM_Exon3_NM_001105077.3 1258.48 0.00 1258.48 100.0
chr3 176743265 176743332 TBL1XR1_Exon16_NM_001321193.2 1366.52 0.00 1366.52 100.0
chr3 178937338 178937543 PIK3CA_Exon12_NM_006218.4 1605.38 0.00 1605.38 100.0
chr3 182662861 182662981 DCUN1D1_Exon7_NM_020640.4 1369.50 0.00 1369.5 100.0
chr4 15938158 15938206 FGFBP1_Exon3_NM_005130.5 253.12 0.00 253.12 100.0
chr4 15995660 15995707 PROM1_Exon15_NM_001145849.2 316.96 0.00 316.96 100.0
chr4 48636415 48636463 FRYL_Exon4_NM_015030.2 523.90 0.00 523.9 100.0
chr4 55569869 55570078 KIT_Exon5_NM_001093772.1 1311.64 0.00 1311.64 100.0
chr4 55575569 55575725 KIT_Exon7_NM_001093772.1 1438.00 0.00 1438.0 100.0
chr4 56336934 56336982 CLOCK_Exon9_NM_001267843.1 307.18 0.00 307.18 100.0
chr4 143158996 143159184 INPP4B_Exon13_NM_003866.3 944.76 0.00 944.76 100.0
chr4 143350305 143350390 INPP4B_Exon6_NM_003866.3 910.90 0.00 910.9 100.0
chr4 155160301 155160474 DCHS2_Exon19_NM_001358235.2 1225.16 0.00 1225.16 100.0
chr4 155249224 155249364 DCHS2_Exon7_NM_001358235.2 1165.72 0.00 1165.72 100.0
chr4 186272675 186272722 SNX25_Exon14_NM_001317781.1 337.44 0.00 337.44 100.0
chr4 187516822 187517000 FAT1_Exon26_NM_005245.4 1186.40 0.00 1186.4 100.0
chr5 223576 223703 SDHA_Exon2_NM_001294332.1 1474.82 0.00 1474.82 100.0
chr5 230970 231135 SDHA_Exon6_NM_001294332.1 1230.24 0.00 1230.24 100.0
chr5 251086 251238 SDHA_Exon11_NM_001294332.1 1140.50 0.00 1140.5 100.0
chr5 37006438 37006710 NIPBL_Exon17_NM_015384.5 1446.44 0.00 1446.44 100.0
chr5 37007404 37007596 NIPBL_Exon18_NM_015384.5 1362.48 0.00 1362.48 100.0
chr5 38954855 38954983 RICTOR_Exon27_NM_001285439.2 1039.96 0.00 1039.96 100.0
chr5 38962396 38962483 RICTOR_Exon19_NM_001285439.2 785.58 0.00 785.58 100.0
chr5 55272022 55272126 IL6ST_Exon3_NM_002184.4 1292.24 0.00 1292.24 100.0
chr5 64886174 64886222 TRIM23_Exon11_NM_001656.4 323.54 0.00 323.54 100.0
chr5 86681097 86681226 RASA1_Exon22_NM_002890.3 1137.96 0.00 1137.96 100.0
chr5 121362833 121362883 SRFBP1_Exon8_NM_152546.3 393.24 0.00 393.24 100.0
chr5 131911448 131911640 RAD50_Exon3_NM_005732.4 1492.82 0.00 1492.82 100.0
chr5 131944954 131945108 RAD50_Exon19_NM_005732.4 1302.78 0.00 1302.78 100.0
chr5 131951674 131951842 RAD50_Exon20_NM_005732.4 1288.28 0.00 1288.28 100.0
chr5 138213125 138213153 CTNNA1_Intron7_NM_001290307.2 2.72 0.00 2.72 100.0
chr5 145886703 145886750 TCERG1_Exon18_NM_001040006.2 596.10 0.00 596.1 100.0
chr5 149495305 149495529 PDGFRB_Exon23_NM_001355017.2 1372.04 0.00 1372.04 100.0
chr5 149509299 149509551 PDGFRB_Exon10_NM_001355017.2 1121.00 0.00 1121.0 100.0
chr5 149515097 149515461 PDGFRB_Exon3_NM_001355017.2 1501.52 0.00 1501.52 100.0
chr5 150932717 150932968 FAT2_Exon5_NM_001447.2 1342.76 0.00 1342.76 100.0
chr5 161113215 161113374 GABRA6_Exon2_NM_000811.3 1420.12 0.00 1420.12 100.0
chr5 167895935 167896042 WWC1_Exon23_NM_015238.3 1339.88 0.00 1339.88 100.0
chr5 170814932 170815030 NPM1_Exon2_NM_001355006.1 672.30 0.00 672.3 100.0
chr5 176710767 176710949 NSD1_Exon21_NM_172349.2 1558.08 0.00 1558.08 100.0
