Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr1 6479280 6479420 HES2_Exon3_NM_019089.5 1254.16 0.00 1254.16 100.0
chr1 9784092 9784134 PIK3CD_Exon21_NM_005026.5 1326.92 0.00 1326.92 100.0
chr1 10321942 10322048 KIF1B_Exon5_NM_183416.4 1403.74 0.00 1403.74 100.0
chr1 10327417 10327636 KIF1B_Exon6_NM_183416.4 1431.74 0.00 1431.74 100.0
chr1 10412668 10412814 KIF1B_Exon38_NM_001365951.2 1291.84 0.00 1291.84 100.0
chr1 10431178 10431340 KIF1B_Exon45_NM_001365951.2 1130.14 0.00 1130.14 100.0
chr1 11169326 11169447 MTOR_Exon56_NM_004958.4 1472.82 0.00 1472.82 100.0
chr1 11181282 11181445 MTOR_Exon49_NM_004958.4 1143.52 0.00 1143.52 100.0
chr1 11184534 11184710 MTOR_Exon47_NM_004958.4 1252.20 0.00 1252.2 100.0
chr1 11187046 11187221 MTOR_Exon45_NM_004958.4 1331.78 0.00 1331.78 100.0
chr1 11188040 11188203 MTOR_Exon43_NM_004958.4 1249.84 0.00 1249.84 100.0
chr1 11189774 11189915 MTOR_Exon40_NM_004958.4 1137.16 0.00 1137.16 100.0
chr1 11206712 11206868 MTOR_Exon32_NM_004958.4 1051.24 0.00 1051.24 100.0
chr1 11254497 11254736 ANGPTL7_Exon4_NM_021146.4 1402.28 0.00 1402.28 100.0
chr1 16461510 16461704 EPHA2_Exon7_NM_004431.5 1753.14 0.00 1753.14 100.0
chr1 17359534 17359660 SDHB_Exon3_NM_003000.3 1333.74 0.00 1333.74 100.0
chr1 27056121 27056374 ARID1A_Exon2_NM_139135.4 1369.34 0.00 1369.34 100.0
chr1 27098970 27099143 ARID1A_Exon13_NM_139135.4 1627.92 0.00 1627.92 100.0
chr1 27100050 27100228 ARID1A_Exon16_NM_139135.4 1606.34 0.00 1606.34 100.0
chr1 28929942 28929992 TAF12_Exon6_NM_001135218.2 386.06 0.00 386.06 100.0
chr1 32797670 32797863 HDAC1_Exon12_NM_004964.3 1661.36 0.00 1661.36 100.0
chr1 32798597 32798665 HDAC1_Exon14_NM_004964.3 1585.62 0.00 1585.62 100.0
